nombre_volcan lon lat distancia
Dempo 103.121 -4.016 20
Krakatau 105.423 -6.102 20
"Tangkuban Parahu" 107.6 -6.77 20
Papandayan 107.73 -7.32 20
Slamet 109.208 -7.242 20
"Dieng Volcanic Complex" 109.879 -7.2 20
Kelud 112.314 -7.935 20
Semeru 112.922 -8.108 20
"Tengger Caldera" 112.95 -7.942 20
Raung 114.056 -8.119 20
Ijen 114.242 -8.058 20
Batur 115.375 -8.242 20
Agung 115.508 -8.343 20
Rinjani 116.47 -8.42 20
"Sangeang Api" 119.07 -8.2 20
Ranakah 120.52 -8.62 20
Inielika 120.98 -8.73 20
Paluweh 121.708 -8.32 20
Egon 122.455 -8.676 20
Lewotobi 122.775 -8.542 20
Leroboleng 122.833 -8.365 20
Iliboleng 123.258 -8.342 20
Lewotolok 123.508 -8.274 20
Iliwerung 123.573 -8.532 20
"Tara. Batu" 123.585 -7.791 20
Sirung 124.13 -8.508 20
Ambang 124.42 0.75 20
Soputan 124.737 1.112 20
Lokon-Empung 124.792 1.358 20
Karangetang 125.407 2.781 20
Awu 125.447 3.689 20
Dukono 127.894 1.693 20
Ibu 127.63 1.494 20
Gamkonora 127.53 1.38 20
Gamalama 127.33 0.8 20
Kanlaon 123.132 10.412 20
Bulusan 124.056 12.769 20
Mayon 123.685 13.257 20
Pinatubo 120.35 15.13 20
Suwanosejima 129.714 29.638 20
Kuchinoerabujima 130.217 30.443 20
Aira 130.657 31.593 20
Kirishimayama 130.862 31.934 20
Unzendake 130.299 32.761 20
Asosan 131.104 32.884 20
Kujusan 131.24899 33.086 20
Hakoneyama 139.021 35.233 20
Ontakesan 137.48 35.893 20
Yakedake 137.58701 36.227 20
Niigata-Yakeyama 138.036 36.921 20
Asamayama 138.52299 36.406 20
Kusatsu-Shiranesan 138.528 36.618 20
Adatarayama 140.28101 37.647 20
Akita-Yakeyama 140.757 39.964 20
Izu-Oshima 139.394 34.724 20
Miyakejima 139.526 34.094 20
Nishinoshima 140.87399 27.247 20
Hokkaido-Komagatake 140.677 42.063 20
Toya 140.839 42.544 20
Tokachidake 142.686 43.418 20
Akan 144.013 43.384 20
Chirpoi 150.871 46.532 20
"Sarychev Peak" 153.2 48.092 20
Raikoke 153.25 48.292 20
Chirinkotan 153.48 48.98 20
Sinarka 154.18201 48.873 20
Chikurachki 155.461 50.324 20
Ebeko 156.01401 50.686 20
Alaid 155.565 50.861 20
Kambalny 156.875 51.306 20
Koryaksky 158.71201 53.321 20
Avachinsky 158.836 53.256 20
Zhupanovsky 159.14999 53.589 20
Karymsky 159.44299 54.049 20
Bezymianny 160.595 55.972 20
Klyuchevskoy 160.642 56.056 20
Sheveluch 161.36 56.653 20
Semisopochnoi 179.58 51.93 20
"Great Sitkin" -176.13 52.076 20
Cleveland -169.944 52.825 20
Bogoslof -168.03 53.93 20
Shishaldin -163.97 54.756 20
Pavlof -161.894 55.417 20
Veniaminof -159.38 56.17 20
"St. Helens" -122.18 46.2 20
Kilauea -155.287 19.421 20
Colima -103.62 19.514 20
Popocatepetl -98.622 19.023 20
"Santa Maria" -91.552 14.757 20
"Santa Ana" -89.63 13.853 20
"San Salvador" -89.294 13.734 20
"San Miguel" -88.269 13.434 20
"San Cristobal" -87.004 12.702 20
Telica -86.84 12.606 20
"Negro. Cerro" -86.702 12.506 20
Momotombo -86.539 12.423 20
Masaya -86.165 11.985 20
Concepcion -85.622 11.538 20
"Rincon de la Vieja" -85.324 10.83 20
Poas -84.233 10.2 20
Irazu -83.852 9.979 20
Turrialba -83.767 10.025 20
"Huila. Nevado del" -76.03 2.93 20
Galeras -77.37 1.22 20
Tungurahua -78.442 -1.467 20
Wolf -91.35 0.02 20
"Negra. Sierra" -91.17 -0.83 20
Ubinas -70.903 -16.355 20
Planchon-Peteroa -70.568 -35.223 20
Calbuco -72.618 -41.33 20
"Hudson. Cerro" -72.97 -45.9 20
"Soufriere Hills" -62.18 16.72 20
"Watt. Morne" -61.305 15.307 20
Bardarbunga -17.516 64.633 20
Terceira -27.32 38.73 20
Hierro -18.03 27.73 20
Fogo -24.35 14.95 20
Erebus 167.17 -77.53 20
"Bristol Island" -26.533 -59.017 20
Saunders -26.483 -57.8 20
Zavodovski -27.57 -56.3 20
Aso 131.085 32.8849 20
Askja -16.783 65.033 20
Hekla -19.666 63.983 20
Reykjanes -22.3650 63.9155 20
Tupungatito -69.797 -33.425 20
"San Jose" -69.895 -33.789 20
Maipo -69.832 -34.164 20
Palomo -70.295 -34.608 20
"Atuel. Caldera del" -70.050 -34.650 20
"Risco Plateado" -69.981 -34.917 20
Tinguiririca -70.352 -34.814 20
Infiernillo -69.900 -35.123 20
Calabozos -70.496 -35.558 20
"Descabezado Grande" -70.750 -35.580 20
"Azul. Cerro" -70.761 -35.653 20
"San Pedro-Pellado" -70.849 -35.989 20
"Longavi. Nevado de" -71.161 -36.193 20
"Blancas. Lomas" -71.009 -36.286 20
"Resago. Volcan" -70.920 -36.450 20
"Payun Matru" -69.241 -36.422 20
"Tromen Volcanic Plateau" -70.033 -37.144 20
"Azufre. Cerro del" -68.237 -21.787 20
